dataset,budget_pct,method,scoring_completion_rate,progress_mean,progress_std,test_mse_mean,test_mse_std,n_deleted_mean,n_deleted_std,total_budget_sec_mean,total_budget_sec_std,charged_compute_sec_mean,charged_compute_sec_std,score_sec_mean,sort_sec_mean,priority_total_sec_mean,average_unlearn_sec_mean
synthetic,10.0,SIS,0.9333333333333333,0.2013753904633992,0.13652333207578646,13.798985521377707,0.6235440456237814,0.7333333333333333,0.520830459762188,0.00010942933333333333,1.1836347273614834e-05,0.00010243055555555556,8.99381203990528e-06,8.477666666666668e-05,5.233333333333335e-06,9.001e-05,1.9198128654970762e-05
synthetic,25.0,SIS,1.0,0.7529109997350653,0.02865517789435764,13.31510361188378,0.13879102480050273,8.966666666666667,0.808716877841527,0.0002735733333333333,2.9590868184037075e-05,0.00026278789473684213,3.132213589281816e-05,8.477666666666668e-05,5.233333333333335e-06,9.001e-05,1.9198128654970762e-05
synthetic,50.0,SIS,1.0,0.9359167485434619,0.0065657491591558014,12.989363413944137,0.2939665885904877,23.133333333333333,0.8193072487266859,0.0005471466666666666,5.918173636807415e-05,0.0005347298830409356,6.013194409714176e-05,8.477666666666668e-05,5.233333333333335e-06,9.001e-05,1.9198128654970762e-05
synthetic,75.0,SIS,1.0,0.9546670271866837,0.001815334849232991,12.699958836613453,0.1005317094650681,37.63333333333333,0.8899179866642238,0.0008207199999999998,8.877260455211122e-05,0.0008128171345029242,8.736019173808777e-05,8.477666666666668e-05,5.233333333333335e-06,9.001e-05,1.9198128654970762e-05
synthetic,100.0,SIS,1.0,0.9999899516390868,7.476079821731008e-06,10.42507438852507,0.07286713980453528,51.833333333333336,0.698931861576246,0.0010942933333333332,0.0001183634727361483,0.0010853694152046785,0.00011577723561578392,8.477666666666668e-05,5.233333333333335e-06,9.001e-05,1.9198128654970762e-05
synthetic,10.0,Cook's,0.9,0.24906786179660081,0.12659447203396473,13.500186732940172,0.6522842673151337,0.9,0.48066046515042266,0.00010942933333333333,1.1836347273614834e-05,0.00010099129824561409,1.0802685316426814e-05,8.122333333333335e-05,5.026666666666668e-06,8.625000000000002e-05,1.9198128654970762e-05
synthetic,25.0,Cook's,1.0,0.7517945846072409,0.025337664067589895,13.550027624385045,0.3426804862570147,9.4,1.1626367179523596,0.0002735733333333333,2.9590868184037075e-05,0.0002673090643274854,2.8371693693957003e-05,8.122333333333335e-05,5.026666666666668e-06,8.625000000000002e-05,1.9198128654970762e-05
synthetic,50.0,Cook's,1.0,0.938171321916468,0.008832075451509618,12.885688777323425,0.12992800896269197,23.633333333333333,1.1885468767200222,0.0005471466666666666,5.918173636807415e-05,0.0005406844444444445,5.880768673942009e-05,8.122333333333335e-05,5.026666666666668e-06,8.625000000000002e-05,1.9198128654970762e-05
synthetic,75.0,Cook's,1.0,0.9561745898441971,0.008483326661897266,12.631345461140482,0.44100457128224,37.666666666666664,1.1547005383792517,0.0008207199999999998,8.877260455211122e-05,0.0008100838596491229,8.769838629305734e-05,8.122333333333335e-05,5.026666666666668e-06,8.625000000000002e-05,1.9198128654970762e-05
synthetic,100.0,Cook's,1.0,0.9999899667571753,7.678928339198745e-06,10.424849295313358,0.07137386004741468,51.7,1.118804780974337,0.0010942933333333332,0.0001183634727361483,0.0010794608771929827,0.00011643732531866403,8.122333333333335e-05,5.026666666666668e-06,8.625000000000002e-05,1.9198128654970762e-05
