dataset,score_cost_multiplier,budget_pct,method,progress_mean,progress_std,test_mse_mean,test_mse_std,n_deleted_mean,n_deleted_std,pending_excluded_mean,pending_excluded_std,charged_compute_sec_mean,charged_compute_sec_std,total_budget_sec_mean,total_budget_sec_std,sis_score_sec_mean,sis_sort_sec_mean,score_deletion_equivalent_mean,exclusion_count_mean,eligible_count_mean
Criteo Attribution,5.0,10.0,SIS-filtered random,0.02004835284992563,0.0442044559412552,0.19994367572718114,1.7555941283586286e-07,108.43333333333334,93.72324752395633,9908.1,1297.3424387756208,0.03136762954316668,0.0007152034028927927,0.03137307500000001,0.0007150849966009587,0.029707403333333333,0.0013687399999999998,1981.7289624327564,9908.1,10091.9
Criteo Attribution,5.0,25.0,SIS-filtered random,-0.7500388663488501,0.5240033982360188,0.19994855032523373,8.5279917782347e-07,3017.8,259.46488700054755,9908.1,1297.3424387756208,0.07842531163483332,0.0017881693294207813,0.07843268750000001,0.0017877124915023966,0.029707403333333333,0.0013687399999999998,1981.7289624327564,9908.1,10091.9
Criteo Attribution,5.0,50.0,SIS-filtered random,-7.663543836438047,3.910014991278536,0.19995784734364158,2.9989828038191266e-06,7956.266666666666,466.43171753905926,9908.1,1297.3424387756208,0.15589521903666664,0.005197231737990813,0.15686537500000003,0.0035754249830047932,0.029707403333333333,0.0013687399999999998,1981.7289624327564,9908.1,10091.9
Criteo Attribution,5.0,75.0,SIS-filtered random,-11.891896429543797,3.4266545382361495,0.19996166843850788,1.8853185015387124e-06,10091.9,1297.3424387756208,9908.1,1297.3424387756208,0.1894347035305,0.01738687457299685,0.2352980625,0.005363137474507188,0.029707403333333333,0.0013687399999999998,1981.7289624327564,9908.1,10091.9
Criteo Attribution,5.0,100.0,SIS-filtered random,-11.891896429543797,3.4266545382361495,0.19996166843850788,1.8853185015387124e-06,10091.9,1297.3424387756208,9908.1,1297.3424387756208,0.1894347035305,0.01738687457299685,0.31373075000000006,0.0071508499660095865,0.029707403333333333,0.0013687399999999998,1981.7289624327564,9908.1,10091.9
Criteo Attribution,5.0,10.0,Random,0.03488941750823725,0.11713365479131763,0.19994353407182816,3.537461397312552e-07,2000.0,0.0,0.0,0.0,0.03137307500000001,0.0007150849966009587,0.03137307500000001,0.0007150849966009587,0.029707403333333333,0.0013687399999999998,1981.7289624327564,9908.1,10091.9
Criteo Attribution,5.0,25.0,Random,0.1826398102125765,0.18932186062400466,0.1999435457242412,5.205812582922906e-07,5000.0,0.0,0.0,0.0,0.07843268750000001,0.0017877124915023966,0.07843268750000001,0.0017877124915023966,0.029707403333333333,0.0013687399999999998,1981.7289624327564,9908.1,10091.9
Criteo Attribution,5.0,50.0,Random,0.4364742630009015,0.1538672814020472,0.1999437111655909,4.6457905800615917e-07,10000.0,0.0,0.0,0.0,0.15686537500000003,0.0035754249830047932,0.15686537500000003,0.0035754249830047932,0.029707403333333333,0.0013687399999999998,1981.7289624327564,9908.1,10091.9
Criteo Attribution,5.0,75.0,Random,0.747908716290685,0.067402842035671,0.19994374202064433,5.03904418741471e-07,15000.0,0.0,0.0,0.0,0.2352980625,0.005363137474507188,0.2352980625,0.005363137474507188,0.029707403333333333,0.0013687399999999998,1981.7289624327564,9908.1,10091.9
Criteo Attribution,5.0,100.0,Random,1.0,0.0,0.19994390288045916,3.647606443908417e-07,20000.0,0.0,0.0,0.0,0.31373075000000006,0.0071508499660095865,0.31373075000000006,0.0071508499660095865,0.029707403333333333,0.0013687399999999998,1981.7289624327564,9908.1,10091.9
