dataset,score_cost_multiplier,budget_pct,method,progress_mean,progress_std,test_mse_mean,test_mse_std,n_deleted_mean,n_deleted_std,pending_excluded_mean,pending_excluded_std,charged_compute_sec_mean,charged_compute_sec_std,total_budget_sec_mean,total_budget_sec_std,sis_score_sec_mean,sis_sort_sec_mean,score_deletion_equivalent_mean,exclusion_count_mean,eligible_count_mean
Criteo Attribution,10.0,10.0,SIS-filtered random,-0.16168597130605641,0.17203241603650726,0.1999437740499287,4.177880924916227e-07,96.26666666666667,118.06425291379246,19032.5,1182.3171506950182,0.031104425730000003,0.0007723928952076608,0.031110901333333336,0.0007715362292954248,0.029540346666666665,0.0013927333333333335,1985.1012055873264,19032.5,967.5
Criteo Attribution,10.0,25.0,SIS-filtered random,-8.712076830178415,9.047177249921901,0.1999462169901771,3.7998342576850333e-06,927.4,1067.247526471072,19032.5,1182.3171506950182,0.045306285641000005,0.014090950490635584,0.07777725333333334,0.0019288405732385602,0.029540346666666665,0.0013927333333333335,1985.1012055873264,19032.5,967.5
Criteo Attribution,10.0,50.0,SIS-filtered random,-8.996130204893905,9.218737431759394,0.1999463789377476,4.287668000129588e-06,967.5,1182.3171506950182,19032.5,1182.3171506950182,0.0459647053855,0.01617592655437293,0.15555450666666668,0.0038576811464771203,0.029540346666666665,0.0013927333333333335,1985.1012055873264,19032.5,967.5
Criteo Attribution,10.0,75.0,SIS-filtered random,-8.996130204893905,9.218737431759394,0.1999463789377476,4.287668000129588e-06,967.5,1182.3171506950182,19032.5,1182.3171506950182,0.0459647053855,0.01617592655437293,0.23333176000000005,0.00578652171971568,0.029540346666666665,0.0013927333333333335,1985.1012055873264,19032.5,967.5
Criteo Attribution,10.0,100.0,SIS-filtered random,-8.996130204893905,9.218737431759394,0.1999463789377476,4.287668000129588e-06,967.5,1182.3171506950182,19032.5,1182.3171506950182,0.0459647053855,0.01617592655437293,0.31110901333333335,0.007715362292954241,0.029540346666666665,0.0013927333333333335,1985.1012055873264,19032.5,967.5
Criteo Attribution,10.0,10.0,Random,0.03488941750823725,0.11713365479131763,0.19994353407182816,3.537461397312552e-07,2000.0,0.0,0.0,0.0,0.031110901333333336,0.0007715362292954248,0.031110901333333336,0.0007715362292954248,0.029540346666666665,0.0013927333333333335,1985.1012055873264,19032.5,967.5
Criteo Attribution,10.0,25.0,Random,0.1826398102125765,0.18932186062400466,0.1999435457242412,5.205812582922906e-07,5000.0,0.0,0.0,0.0,0.07777725333333334,0.0019288405732385602,0.07777725333333334,0.0019288405732385602,0.029540346666666665,0.0013927333333333335,1985.1012055873264,19032.5,967.5
Criteo Attribution,10.0,50.0,Random,0.4364742630009015,0.1538672814020472,0.1999437111655909,4.6457905800615917e-07,10000.0,0.0,0.0,0.0,0.15555450666666668,0.0038576811464771203,0.15555450666666668,0.0038576811464771203,0.029540346666666665,0.0013927333333333335,1985.1012055873264,19032.5,967.5
Criteo Attribution,10.0,75.0,Random,0.747908716290685,0.067402842035671,0.19994374202064433,5.03904418741471e-07,15000.0,0.0,0.0,0.0,0.23333176000000005,0.00578652171971568,0.23333176000000005,0.00578652171971568,0.029540346666666665,0.0013927333333333335,1985.1012055873264,19032.5,967.5
Criteo Attribution,10.0,100.0,Random,1.0,0.0,0.19994390288045916,3.647606443908417e-07,20000.0,0.0,0.0,0.0,0.31110901333333335,0.007715362292954241,0.31110901333333335,0.007715362292954241,0.029540346666666665,0.0013927333333333335,1985.1012055873264,19032.5,967.5
