dataset,budget_pct,method,scoring_completion_rate,progress_mean,progress_std,test_mse_mean,test_mse_std,n_deleted_mean,n_deleted_std,total_budget_sec_mean,total_budget_sec_std,charged_compute_sec_mean,charged_compute_sec_std,score_sec_mean,sort_sec_mean,priority_total_sec_mean,average_unlearn_sec_mean
Criteo Attribution,10.0,SIS,0.9666666666666667,-1.0199713106454378,0.7106523596550245,0.1999434252882235,2.151081331523332e-07,158.16666666666666,41.524470004991066,0.029841303,0.0002386875293847442,0.02983454293916667,0.00023963865379884105,0.02627185333333333,0.0012913000000000002,0.02756315333333333,1.49206515e-05
Criteo Attribution,25.0,SIS,1.0,-21.057138860491804,6.174691331717263,0.19995545646117827,6.992346713632638e-07,3152.5,67.39423386774783,0.0746032575,0.0005967188234618603,0.07459647161916667,0.0005975397947905978,0.02627185333333333,0.0012913000000000002,0.02756315333333333,1.49206515e-05
Criteo Attribution,50.0,SIS,1.0,-16.17779923438216,4.478007300207337,0.19996536156315534,8.971239918983141e-07,8152.5,67.39423386774783,0.149206515,0.0011934376469237206,0.1491997291191667,0.0011942499872601687,0.02627185333333333,0.0012913000000000002,0.02756315333333333,1.49206515e-05
Criteo Attribution,75.0,SIS,1.0,-8.349934475890906,2.463167547243187,0.1999545351517449,9.993646833712412e-07,13152.5,67.39423386774783,0.2238097725,0.0017901564703855838,0.22380298661916667,0.0017909659310916127,0.02627185333333333,0.0012913000000000002,0.02756315333333333,1.49206515e-05
Criteo Attribution,100.0,SIS,1.0,0.33571501021349964,0.1702690110437838,0.199944954956452,9.283549103278382e-07,18152.5,67.39423386774783,0.29841303,0.0023868752938474413,0.2984062441191667,0.002387683314247974,0.02627185333333333,0.0012913000000000002,0.02756315333333333,1.49206515e-05
Criteo Attribution,10.0,Cook's,0.9333333333333333,-0.6479799474653152,0.38345522056813314,0.19994446916407885,3.2856496366662533e-07,185.73333333333332,54.47867873564491,0.029841303,0.0002386875293847442,0.02983490715816667,0.00023911979208820648,0.026016880000000003,0.0012942700000000001,0.027311150000000003,1.49206515e-05
Criteo Attribution,25.0,Cook's,1.0,-20.84126620248218,5.788633190668086,0.19995771453765204,7.874868510317012e-07,3169.4,115.5343209195641,0.0746032575,0.0005967188234618603,0.07459611540083334,0.0005957885424348896,0.026016880000000003,0.0012942700000000001,0.027311150000000003,1.49206515e-05
Criteo Attribution,50.0,Cook's,1.0,-17.3420495238531,5.044469496131862,0.1999653228830394,8.135574921743812e-07,8169.4,115.53432091956408,0.149206515,0.0011934376469237206,0.14919937290083335,0.00119250046063644,0.026016880000000003,0.0012942700000000001,0.027311150000000003,1.49206515e-05
Criteo Attribution,75.0,Cook's,1.0,-8.4428303980915,2.633854301996491,0.19995330438673944,1.0312173176419919e-06,13169.4,115.53432091956408,0.2238097725,0.0017901564703855838,0.2238026304008334,0.0017892169847413583,0.026016880000000003,0.0012942700000000001,0.027311150000000003,1.49206515e-05
Criteo Attribution,100.0,Cook's,1.0,0.3320963968032626,0.2744876572413997,0.19994470038486914,9.207999001586861e-07,18169.4,115.53432091956408,0.29841303,0.0023868752938474413,0.29840588790083344,0.0023859346589760705,0.026016880000000003,0.0012942700000000001,0.027311150000000003,1.49206515e-05
Criteo Attribution,10.0,Leverage,1.0,-0.009286245059730577,0.14438745821766644,0.19994352685855066,2.1335312492649188e-07,590.8333333333334,17.508782689392422,0.029841303,0.0002386875293847442,0.029833904908833333,0.00023984556855465486,0.01973112,0.0012868900000000002,0.02101801,1.49206515e-05
Criteo Attribution,25.0,Leverage,1.0,-0.028142485317024717,0.31114627536592543,0.19994361392658686,4.6471014093980875e-07,3590.8333333333335,17.508782689392422,0.0746032575,0.0005967188234618603,0.07459585940883336,0.0005978587762346967,0.01973112,0.0012868900000000002,0.02101801,1.49206515e-05
Criteo Attribution,50.0,Leverage,1.0,0.2685243175309566,0.21797362516548544,0.1999441435776533,6.37527975050687e-07,8590.833333333334,17.50878268939242,0.149206515,0.0011934376469237206,0.1491991169088333,0.0011945715476415347,0.01973112,0.0012868900000000002,0.02101801,1.49206515e-05
Criteo Attribution,75.0,Leverage,1.0,0.627285909038333,0.10766801467457235,0.19994403700643215,8.370541440231003e-07,13590.833333333334,17.50878268939242,0.2238097725,0.0017901564703855838,0.22380237440883333,0.0017912883511863587,0.01973112,0.0012868900000000002,0.02101801,1.49206515e-05
Criteo Attribution,100.0,Leverage,1.0,0.9171967393507857,0.036893062481117754,0.1999437961706607,8.746312856493064e-07,18590.833333333332,17.50878268939242,0.29841303,0.0023868752938474413,0.29840563190883335,0.0023880061642099215,0.01973112,0.0012868900000000002,0.02101801,1.49206515e-05
Criteo Attribution,10.0,Residual,1.0,-2.4077563467664596,0.8306229943643064,0.19994574273445415,2.353042236378999e-07,423.1333333333333,17.86488239503708,0.029841303,0.0002386875293847442,0.029834614603166665,0.00023891752043419062,0.022231563333333336,0.0012895066666666665,0.02352107,1.49206515e-05
Criteo Attribution,25.0,Residual,1.0,-19.85600739540563,5.625996667226942,0.19996203550494254,6.201488146803127e-07,3423.133333333333,17.864882395037075,0.0746032575,0.0005967188234618603,0.07459656910316667,0.0005969226772102476,0.022231563333333336,0.0012895066666666665,0.02352107,1.49206515e-05
