dataset,score_cost_multiplier,budget_pct,method,progress_mean,progress_std,test_mse_mean,test_mse_std,n_deleted_mean,n_deleted_std,pending_excluded_mean,pending_excluded_std,charged_compute_sec_mean,charged_compute_sec_std,total_budget_sec_mean,total_budget_sec_std,sis_score_sec_mean,sis_sort_sec_mean,score_deletion_equivalent_mean,exclusion_count_mean,eligible_count_mean
Criteo Attribution,20.0,10.0,SIS-filtered random,-0.010560027067875977,0.016823572805521585,0.1999435166772546,2.16186521912482e-08,0.3,0.46609159969939895,19999.0,0.0,0.030397242141666673,0.0020015080337185023,0.03126166733333334,0.001100581470251798,0.030221683333333336,0.001366146666666667,2021.2738955332954,19999.0,1.0
Criteo Attribution,20.0,25.0,SIS-filtered random,-0.029290711297513004,0.014404691007595696,0.19994348294377898,3.222978186181906e-09,1.0,0.0,19999.0,0.0,0.03160346083366667,0.0029358008743609458,0.07815416833333334,0.002751453675629494,0.030221683333333336,0.001366146666666667,2021.2738955332954,19999.0,1.0
Criteo Attribution,20.0,50.0,SIS-filtered random,-0.029290711297513004,0.014404691007595696,0.19994348294377898,3.222978186181906e-09,1.0,0.0,19999.0,0.0,0.03160346083366667,0.0029358008743609458,0.1563083366666667,0.005502907351258988,0.030221683333333336,0.001366146666666667,2021.2738955332954,19999.0,1.0
Criteo Attribution,20.0,75.0,SIS-filtered random,-0.029290711297513004,0.014404691007595696,0.19994348294377898,3.222978186181906e-09,1.0,0.0,19999.0,0.0,0.03160346083366667,0.0029358008743609458,0.23446250500000002,0.008254361026888483,0.030221683333333336,0.001366146666666667,2021.2738955332954,19999.0,1.0
Criteo Attribution,20.0,100.0,SIS-filtered random,-0.029290711297513004,0.014404691007595696,0.19994348294377898,3.222978186181906e-09,1.0,0.0,19999.0,0.0,0.03160346083366667,0.0029358008743609458,0.3126166733333334,0.011005814702517975,0.030221683333333336,0.001366146666666667,2021.2738955332954,19999.0,1.0
Criteo Attribution,20.0,10.0,Random,0.03488941750823725,0.11713365479131763,0.19994353407182816,3.537461397312552e-07,2000.0,0.0,0.0,0.0,0.03126166733333334,0.001100581470251798,0.03126166733333334,0.001100581470251798,0.030221683333333336,0.001366146666666667,2021.2738955332954,19999.0,1.0
Criteo Attribution,20.0,25.0,Random,0.1826398102125765,0.18932186062400466,0.1999435457242412,5.205812582922906e-07,5000.0,0.0,0.0,0.0,0.07815416833333334,0.002751453675629494,0.07815416833333334,0.002751453675629494,0.030221683333333336,0.001366146666666667,2021.2738955332954,19999.0,1.0
Criteo Attribution,20.0,50.0,Random,0.4364742630009015,0.1538672814020472,0.1999437111655909,4.6457905800615917e-07,10000.0,0.0,0.0,0.0,0.1563083366666667,0.005502907351258988,0.1563083366666667,0.005502907351258988,0.030221683333333336,0.001366146666666667,2021.2738955332954,19999.0,1.0
Criteo Attribution,20.0,75.0,Random,0.747908716290685,0.067402842035671,0.19994374202064433,5.03904418741471e-07,15000.0,0.0,0.0,0.0,0.23446250500000002,0.008254361026888483,0.23446250500000002,0.008254361026888483,0.030221683333333336,0.001366146666666667,2021.2738955332954,19999.0,1.0
Criteo Attribution,20.0,100.0,Random,1.0,0.0,0.19994390288045916,3.647606443908417e-07,20000.0,0.0,0.0,0.0,0.3126166733333334,0.011005814702517975,0.3126166733333334,0.011005814702517975,0.030221683333333336,0.001366146666666667,2021.2738955332954,19999.0,1.0
